,filename,chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0,cooler_than_me,0.42750263200000005,2869.82862,2677.180491,6014.937118,0.133023779,129.19921875,-12.48610687,66.94616699,0.302482635,25.93309784,3.732444048,6.751822947999999,-3.3388590810000003,5.9815092089999995,-4.871982574,5.688903809,-2.249963284,2.9568049910000003,-4.295157908999999,0.656407416,-4.171000004,0.7711769340000001,-1.440346718,1.546116471,-3.990371227,2.771891117,2010
1,airplanes,0.42300322700000004,2371.365987,2335.975387,4883.348314,0.111171504,92.28515625,-19.89567375,88.95568085,-16.76070595,27.27427101,4.699789524,10.98278713,-3.9733812810000004,5.23844862,0.734905005,2.333098412,-6.0202546120000004,2.093508244,-5.614815712,2.615297079,-4.1925692560000005,2.258908033,-5.238406181,2.319968224,-3.514363527,2.430466175,2010
2,in_my_head,0.356209189,3011.418486,2711.790253,6264.323144,0.145705844,112.34714674,-22.31182289,56.39844131,-11.29165936,24.00869179,3.027650833,1.601851463,-1.910718322,4.024603367,-2.9686925410000002,7.4148526189999995,-1.4146947859999999,0.385180175,-5.598175049,3.440188169,-7.220666885,-0.5221579670000001,-4.795783997,2.379430771,-3.5093026160000003,1.0321902040000002,2010
3,tik_tok,0.38904109600000003,2566.800494,2495.921945,5313.32822,0.120453126,117.45383523,-32.02466965,74.23845673,-4.407170296,23.32176971,1.4482208490000001,5.175142765,5.466407299,1.796194434,-1.0876768829999999,5.572907448,-7.6056857110000005,2.125535965,-6.483167647999999,2.310317039,-2.3115899559999997,-0.336031586,-2.3079495430000003,0.7113384009999999,-3.418213367,4.908050537,2010
4,love_the_the_way_you_lie,0.409368753,2796.55357,2507.57635,5479.505082,0.158967006,117.45383523,-39.79114914,74.72570801,-19.09047318,18.22961235,7.3303799629999995,5.018394947,-0.301959217,6.2423229220000005,-1.5191767219999999,2.7417175769999997,-4.73649025,0.675784707,-6.952001095,2.451728106,-6.098279953,0.664110482,-6.628309727,0.223306239,-3.690105915,-0.426927865,2010
5,rude_boy,0.355394334,2888.434353,2605.939203,5932.585171,0.13642179599999998,172.265625,-59.33023834,51.24383163,5.148359299,23.1635685,-8.168813705,3.820402384,1.539031506,2.110625505,5.116493225,4.031439781,-3.390262365,8.840018272,-3.152981997,7.351060867,-1.454714417,4.747898102,0.402706295,6.22963047,-0.677276969,4.322305202,2010
6,dynamite,0.389336795,2518.008142,2682.183561,5769.865612,0.092006839,117.45383523,-43.24695206,72.98537445,1.670782208,15.44327259,10.530885699999999,15.16717243,1.53376472,9.157501221,1.720402479,8.764536858,2.202568769,8.923724174,-0.8327203390000001,5.713282585,-0.58232677,4.839280605,-2.068121195,4.40098238,-2.955765963,4.895222663999999,2010
7,hey_soul_sister,0.322014719,2090.368275,2176.327635,4494.289084,0.106349986,95.703125,-76.13769531,100.9801407,-13.47198296,37.57539749,-7.38535738,22.94833374,-18.41448402,16.75969315,-21.56994057,9.113716125,-11.86023998,2.60718298,-6.968085288999999,5.0455727580000005,-5.125730515,5.01782465,-3.3220722680000003,7.669510841,-3.3586688039999997,4.70819521,2010
8,nothin_on_you,0.3413001,2207.090921,2425.1298699999998,4674.530215999999,0.09463681300000001,103.359375,-31.77469063,94.47319031,-1.136358738,23.33381653,1.2017996309999999,1.86165607,-8.030112267,-2.9981606010000004,-6.525865078,-1.8775495290000002,-0.325689703,2.5961577890000003,-1.979559183,2.205345869,-2.4084215159999998,3.730111837,-2.828749895,4.569801807,-5.502481461,3.796866655,2010
9,omg,0.376380324,2214.66325,2396.598405,4723.631748,0.08941948599999999,129.19921875,-80.62104034,88.7379303,-10.91086102,4.083671093,-3.072483301,2.998161793,-3.85742569,7.331309319,-3.4957973960000004,6.32964325,1.353397608,1.74813211,-4.381651402,3.2862291339999996,-3.0088133810000004,3.101185322,-2.521853447,2.8982479569999997,-2.773996592,2.531903505,2010
10,california_girls,0.45080241600000004,2544.588288,2616.447495,5504.791244,0.112162099,123.046875,-81.93164825,77.21616364,3.774093628,20.70108223,5.413406848999999,9.743571281,1.374505281,9.944013596,-0.26354157899999997,9.440281868,-0.645802855,5.753796101,-2.185689211,3.290456533,-1.527011633,3.655460596,-0.294359446,3.9688816069999997,0.508215189,6.178516865,2010
11,i_like_it,0.43064212799999996,3226.172719,2846.1178649999997,6703.408117,0.165001392,129.19921875,-45.60762405,55.04422379,-3.3878741260000003,21.15199661,2.752381802,9.158955574,2.175191164,7.537586688999999,-0.315144002,7.5185756679999995,-1.220374107,6.980227947,-1.252957463,5.777309418,0.873325169,4.497939587,-2.8478734489999997,2.356927872,-3.029947042,1.203326941,2010
12,bad_romance,0.43496096100000003,2645.7339269999998,2639.4808510000003,5715.21011,0.11341085,117.45383523,-47.92599106,68.62067413,-7.911902905,18.44313812,4.499777794,14.87577248,4.619219303,9.764110565,0.282402366,11.57733536,0.803346515,5.639108181,-0.097150944,5.78102684,-2.929448605,2.168585539,-1.8592495919999998,3.668575525,-4.108798504,3.203513622,2010
13,imma_be,0.42471081,1979.678421,2301.370872,4261.375951,0.068640858,123.046875,-97.32778168,91.97590637,5.628716469,25.28447533,7.2991991039999995,10.15045357,-0.828301787,6.064148426,-2.601698399,4.269199848,3.3427698610000003,6.777494431,-2.24761939,3.2306625839999996,-1.06129539,5.552039146,-0.740803957,4.123921394,-1.318823576,4.250315189,2010
14,bedrock,0.392409235,2828.308993,2734.799682,6044.349483,0.11468058800000001,99.38401442,-121.1771851,69.87143707,-2.099574804,11.97315407,0.6871172790000001,2.699879169,-2.156191349,8.819002151,-4.49851656,3.925439835,-1.484124541,5.594423293999999,-0.8789836759999999,4.018404007,-1.324970245,2.598469019,-2.442199707,2.997666836,-0.9561849240000001,2.431532145,2010
15,need_you_now,0.32294926,1986.0775079999999,2212.5189760000003,4208.287177,0.08998983699999999,107.66601562,-64.88699341,103.5426407,-2.1137866969999997,27.82141876,3.619268656,12.86322021,0.7215271590000001,6.053693771,1.822072268,3.941687107,-5.480306625,1.692350745,-4.930062294,2.595106602,-3.318344355,1.402053356,-2.519526005,3.4056317810000003,-5.388913631,1.017499328,2010
16,break_your-heart,0.416971087,2833.947772,2817.0861809999997,6300.577405,0.097077869,123.046875,-17.25226593,62.05181503,0.312378377,24.76148987,7.524226189,14.10275936,-0.562674582,8.446884155,-3.975000143,4.624039173,1.0557539459999998,8.317310333,0.839386165,5.698910236000001,-0.064698175,5.565078735,-2.285917997,2.537205696,-4.1404080389999995,0.302874863,2010
17,teenage_dream,0.383525819,2475.09607,2532.491957,5316.75198,0.113164214,117.45383523,-19.48978233,88.3258667,0.646123707,22.26989746,4.808521748,2.551338196,0.677169919,5.491974354,3.01295805,9.309454918,-4.81658268,1.9832280869999999,-1.605903864,7.614037514,0.265078455,5.196052551,1.634179115,1.576613188,-4.481292248,0.03121368,2010
18,just_the_way,0.35780656299999997,2242.5437699999998,2439.220225,4897.023193999999,0.09051645400000001,107.66601562,-81.51413727,89.6481781,7.099928379,19.03990555,-5.388292312999999,11.31142426,-7.682021617999999,10.11094093,-4.009682178,5.711908817,-0.740405262,0.905125022,-2.933254719,4.1333975789999995,-0.061673705,5.993308067,2.95547533,4.130305767,-3.873857498,5.6750421520000005,2011
19,pumped_up_kicks,0.389179528,1665.9196470000002,2022.854882,3441.47489,0.073282143,129.19921875,-201.85668950000002,124.2347794,-10.53442478,15.91160965,6.042921542999999,11.37395382,-0.879811943,3.279799938,-0.588810921,3.841681242,-0.778994799,1.04444778,-1.887864828,-1.292703986,-3.390264988,1.071901679,-1.7406237130000002,3.164628744,-2.200686932,2.00384903,2011
20,born_this_way,0.467413425,3019.914391,2764.983161,6377.248952,0.1447579,123.046875,-20.7023468,55.29098129,-4.948672295,21.07422829,8.339940071000001,10.906353,4.275644302,9.336086273,0.349523425,8.308959007,-0.38153246,7.051148415,-0.689267159,3.594205618,-0.627009451,3.5091891289999997,0.822019994,5.414978504,0.036134273,6.187131405,2011
21,floor,0.405474633,2159.298126,2416.551779,4676.215313000001,0.081342416,129.19921875,-81.68204498,94.78852844,1.795656919,21.3735218,2.216967821,6.5892357829999995,3.539259195,3.45792532,-0.595954537,7.420632839,-3.426623821,5.539666652999999,-1.473380446,2.8233733180000002,-0.966795802,4.440050125,-2.109390259,3.133494377,-1.448056936,3.884837627,2011
22,et,0.40448573200000004,2689.403151,2533.010523,5628.457619,0.132389067,151.99908088,-49.28044128,63.78344345,-7.669910431,17.70280838,3.035950422,7.729438782000001,0.634555578,8.327593803,-2.817293644,6.097164631,-5.056581497,3.617224455,-2.8035049439999997,2.451102734,-1.564427614,2.5580031869999997,-1.4940074680000002,6.454924107,0.08443807099999999,3.582210064,2011
23,last_friday,0.42757993899999996,2628.770536,2573.930652,5582.882281,0.117103585,123.046875,-90.65824127,77.51740265,-7.323861599,18.18880844,3.7874937060000002,8.109116554,2.531975746,7.166683197,1.7704538109999999,11.24852943,-2.63142395,7.5306921010000005,2.164494038,7.403809547000001,1.42389071,4.511301041,0.111121111,3.35029006,0.126444474,6.822296142999999,2011
24,just_cant_get_enough,0.35141322,2079.529133,2290.051183,4326.513508,0.085546519,129.19921875,-246.30688480000003,89.77399445,-2.982907057,20.03936577,3.6150822639999998,4.469095707,-2.165251493,2.406784296,-3.913657665,-0.67812264,-6.435613632000001,-1.11026144,-3.757966995,0.8875123859999999,-3.5937657360000004,0.67213732,-2.89495635,1.497740149,-2.6082293990000003,1.014407873,2011
25,grenade,0.388853699,1764.3703170000001,2156.2766239999996,3847.206239,0.067491544,112.34714674,-204.3034058,97.02349854,13.33694077,27.80507088,5.609804153,12.66718674,2.542826414,6.414245128999999,1.7472503190000002,3.968990803,-0.8592051270000001,2.25246501,-1.660382271,0.517894506,-2.7270338539999996,0.645575821,-0.47831609799999997,5.922447205,-3.2200150489999997,7.09443903,2011
26,tonight,0.43197268200000005,2584.703789,2772.4466390000002,5932.641225,0.09199386,123.046875,-46.07373047,73.11405182,11.23178959,26.84930611,7.137797832,14.76926327,2.648726702,9.750995636,-5.61934185,3.8085780139999996,-3.5864114760000003,6.025541782,0.9109502429999999,6.290011882999999,-0.992125988,3.24181819,-4.057806969,4.570049763,-2.223448992,2.2604451180000003,2011
27,s&m,0.38674408200000004,2395.660989,2524.913509,5143.436922999999,0.09299177900000001,129.19921875,-62.29201889,76.1251297,-6.256875515,21.58647346,4.499279976,15.49650288,10.18765163,5.461603642,5.588910103,8.312303542999999,-1.841600418,2.220529318,-4.279841423,4.773912907,-5.694328307999999,5.319423199,-0.7926071290000001,2.897934675,-1.0754718779999999,5.445534229,2011
28,rolling_deep,0.333646536,2169.743882,2440.9568050000003,4752.933695000001,0.088964932,103.359375,-150.48815919999998,93.64864349,-0.5534147620000001,24.01198196,9.213637352000001,10.64406872,2.81159687,8.452710152,-1.43923974,7.757750988,-8.592686653,9.913819313,-7.69555378,9.773059845,-3.9257485869999997,1.1686446670000001,-1.827726126,-0.128488988,-3.663602829,4.732729912,2011
29,party_rock,0.454225868,2815.471212,2829.09807,6258.979942,0.108818989,129.19921875,-37.522346500000005,69.9908905,10.01745987,17.11902237,4.185227394,9.08567524,-1.1850266459999999,5.965583801,-0.45551034799999995,8.653589249,2.122147322,6.583300591,-0.968937933,3.8563618660000003,-1.640354991,4.437067508999999,-1.8717324730000002,5.631563187,0.933821082,7.382906913999999,2011
30,super_bass,0.367746174,2543.598716,2503.427436,5304.4278189999995,0.113415763,129.19921875,-29.47923279,80.00366211,-9.693735123,19.94412231,-9.144732475,7.620915413,4.607207775,3.910200596,0.625468731,8.528697014,-4.952873707,10.23004246,-1.881599188,9.287044525,-0.6965414879999999,5.693324089,-1.482598305,5.351160049,-3.005644083,9.867196083,2011
