filename,chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
cooler_than_me.mp3,0.427502632,2869.82862,2677.180491,6014.937118,0.133023779,[129.19921875],-12.48610687,66.94616699,0.302482635,25.93309784,3.732444048,6.751822948,-3.338859081,5.981509209,-4.871982574,5.688903809,-2.249963284,2.956804991,-4.295157909,0.656407416,-4.171000004,0.771176934,-1.440346718,1.546116471,-3.990371227,2.771891117,2010
airplanes.mp3,0.423003227,2371.365987,2335.975387,4883.348314,0.111171504,[92.28515625],-19.89567375,88.95568085,-16.76070595,27.27427101,4.699789524,10.98278713,-3.973381281,5.23844862,0.734905005,2.333098412,-6.020254612,2.093508244,-5.614815712,2.615297079,-4.192569256,2.258908033,-5.238406181,2.319968224,-3.514363527,2.430466175,2010
in_my_head.mp3,0.356209189,3011.418486,2711.790253,6264.323144,0.145705844,[112.34714674],-22.31182289,56.39844131,-11.29165936,24.00869179,3.027650833,1.601851463,-1.910718322,4.024603367,-2.968692541,7.414852619,-1.414694786,0.385180175,-5.598175049,3.440188169,-7.220666885,-0.522157967,-4.795783997,2.379430771,-3.509302616,1.032190204,2010
tik_tok.mp3,0.389041096,2566.800494,2495.921945,5313.32822,0.120453126,[117.45383523],-32.02466965,74.23845673,-4.407170296,23.32176971,1.448220849,5.175142765,5.466407299,1.796194434,-1.087676883,5.572907448,-7.605685711,2.125535965,-6.483167648,2.310317039,-2.311589956,-0.336031586,-2.307949543,0.711338401,-3.418213367,4.908050537,2010
love_the_the_way_you_lie.mp3,0.409368753,2796.55357,2507.57635,5479.505082,0.158967006,[117.45383523],-39.79114914,74.72570801,-19.09047318,18.22961235,7.330379963,5.018394947,-0.301959217,6.242322922,-1.519176722,2.741717577,-4.73649025,0.675784707,-6.952001095,2.451728106,-6.098279953,0.664110482,-6.628309727,0.223306239,-3.690105915,-0.426927865,2010
rude_boy.mp3,0.355394334,2888.434353,2605.939203,5932.585171,0.136421796,[172.265625],-59.33023834,51.24383163,5.148359299,23.1635685,-8.168813705,3.820402384,1.539031506,2.110625505,5.116493225,4.031439781,-3.390262365,8.840018272,-3.152981997,7.351060867,-1.454714417,4.747898102,0.402706295,6.22963047,-0.677276969,4.322305202,2010
dynamite.mp3,0.389336795,2518.008142,2682.183561,5769.865612,0.092006839,[117.45383523],-43.24695206,72.98537445,1.670782208,15.44327259,10.5308857,15.16717243,1.53376472,9.157501221,1.720402479,8.764536858,2.202568769,8.923724174,-0.832720339,5.713282585,-0.58232677,4.839280605,-2.068121195,4.40098238,-2.955765963,4.895222664,2010
hey_soul_sister.mp3,0.322014719,2090.368275,2176.327635,4494.289084,0.106349986,[95.703125],-76.13769531,100.9801407,-13.47198296,37.57539749,-7.38535738,22.94833374,-18.41448402,16.75969315,-21.56994057,9.113716125,-11.86023998,2.60718298,-6.968085289,5.045572758,-5.125730515,5.01782465,-3.322072268,7.669510841,-3.358668804,4.70819521,2010
nothin_on_you.mp3,0.3413001,2207.090921,2425.12987,4674.530216,0.094636813,[103.359375],-31.77469063,94.47319031,-1.136358738,23.33381653,1.201799631,1.86165607,-8.030112267,-2.998160601,-6.525865078,-1.877549529,-0.325689703,2.596157789,-1.979559183,2.205345869,-2.408421516,3.730111837,-2.828749895,4.569801807,-5.502481461,3.796866655,2010
omg.mp3,0.376380324,2214.66325,2396.598405,4723.631748,0.089419486,[129.19921875],-80.62104034,88.7379303,-10.91086102,4.083671093,-3.072483301,2.998161793,-3.85742569,7.331309319,-3.495797396,6.32964325,1.353397608,1.74813211,-4.381651402,3.286229134,-3.008813381,3.101185322,-2.521853447,2.898247957,-2.773996592,2.531903505,2010
california_girls.mp3,0.450802416,2544.588288,2616.447495,5504.791244,0.112162099,[123.046875],-81.93164825,77.21616364,3.774093628,20.70108223,5.413406849,9.743571281,1.374505281,9.944013596,-0.263541579,9.440281868,-0.645802855,5.753796101,-2.185689211,3.290456533,-1.527011633,3.655460596,-0.294359446,3.968881607,0.508215189,6.178516865,2010
i_like_it.mp3,0.430642128,3226.172719,2846.117865,6703.408117,0.165001392,[129.19921875],-45.60762405,55.04422379,-3.387874126,21.15199661,2.752381802,9.158955574,2.175191164,7.537586689,-0.315144002,7.518575668,-1.220374107,6.980227947,-1.252957463,5.777309418,0.873325169,4.497939587,-2.847873449,2.356927872,-3.029947042,1.203326941,2010
bad_romance.mp3,0.434960961,2645.733927,2639.480851,5715.21011,0.11341085,[117.45383523],-47.92599106,68.62067413,-7.911902905,18.44313812,4.499777794,14.87577248,4.619219303,9.764110565,0.282402366,11.57733536,0.803346515,5.639108181,-0.097150944,5.78102684,-2.929448605,2.168585539,-1.859249592,3.668575525,-4.108798504,3.203513622,2010
imma_be.mp3,0.42471081,1979.678421,2301.370872,4261.375951,0.068640858,[123.046875],-97.32778168,91.97590637,5.628716469,25.28447533,7.299199104,10.15045357,-0.828301787,6.064148426,-2.601698399,4.269199848,3.342769861,6.777494431,-2.24761939,3.230662584,-1.06129539,5.552039146,-0.740803957,4.123921394,-1.318823576,4.250315189,2010
bedrock.mp3,0.392409235,2828.308993,2734.799682,6044.349483,0.114680588,[99.38401442],-121.1771851,69.87143707,-2.099574804,11.97315407,0.687117279,2.699879169,-2.156191349,8.819002151,-4.49851656,3.925439835,-1.484124541,5.594423294,-0.878983676,4.018404007,-1.324970245,2.598469019,-2.442199707,2.997666836,-0.956184924,2.431532145,2010
need_you_now.mp3,0.32294926,1986.077508,2212.518976,4208.287177,0.089989837,[107.66601562],-64.88699341,103.5426407,-2.113786697,27.82141876,3.619268656,12.86322021,0.721527159,6.053693771,1.822072268,3.941687107,-5.480306625,1.692350745,-4.930062294,2.595106602,-3.318344355,1.402053356,-2.519526005,3.405631781,-5.388913631,1.017499328,2010
break_your-heart.mp3,0.416971087,2833.947772,2817.086181,6300.577405,0.097077869,[123.046875],-17.25226593,62.05181503,0.312378377,24.76148987,7.524226189,14.10275936,-0.562674582,8.446884155,-3.975000143,4.624039173,1.055753946,8.317310333,0.839386165,5.698910236,-0.064698175,5.565078735,-2.285917997,2.537205696,-4.140408039,0.302874863,2010
